力前疙,窜啊
力前_01,73200
力前_02,16200
力前_03,39100
力前_04,42700
力前_05,107600
力前_06,90200
力前_07,148600
力前_08,58700
力前_09,110100
力前_10,124200
力前_11,120100
力前_12,134900
力前_13,58600
力前_14,67200
力前_15,90700
力前_16,141800
力前_17,30300
力前_18,144500
力前_19,80800
力前_20,144000
力前_21,68600
力前_22,84200
力前_23,89000
力前_24,55000
力前_25,123800
力前_26,79700
力前_27,67900
力前_28,134400
力前_29,12500
力前_30,129100
力前_31,68400
力前_32,18400
力前_33,153300
力前_34,33800
力前_35,90500
力前_36,122700
力前_37,69800
力前_38,43700
力前_39,10400
力前_40,72600
力前_41,139300
力前_42,121600
力前_43,86800
力前_44,116700
力前_45,14700
力前_46,150200
力前_47,109600
力前_48,59700
力前_49,44800
力前_50,15600
力前_51,27700
力前_52,65100
力前_53,10100
力前_54,121800
力前_55,53300
力前_56,31800
力前_57,54900
力前_58,101300
力前_59,132700
力前_60,94500
力前_61,124500
力前_62,111600
力前_63,133600
力前_64,33800
力前_65,28000
力前_66,44300
力前_67,46800
力前_68,28500
力前_69,16100
力前_70,125100
力前_71,28700
力前_72,95100
力前_73,14100
力前_74,151500
力前_75,96200
力前_76,152500
力前_77,102500
力前_78,46400
力前_79,39700
力前_80,26600
力前_81,153000
力前_82,99100
力前_83,84600
力前_84,129200
力前_85,83800
力前_86,138800
力前_87,130800
力前_88,113900
力前_89,111300
力前_90,37500
力前_91,27500
力前_92,64800
力前_93,71400
力前_94,52200
力前_95,97300
力前_96,78600
力前_97,86300
力前_98,98400
力前_99,19100
力前_100,108800
